"c02","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","10","30","20","メノクラゲ","30","20","シーウシ","40","20","ドククラゲ","40","20","ドククラゲ","40","20","シードルゴ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","ウオット","25","10","コイキング","25","10","ウオット","25","10","ウオット","75","55","30","ギャラドス","40","30","ギョット","50","20","ヒトデマン","55","40","ギョット","55","40","ギョット"
"c04","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","10","30","20","コダック","30","20","コダック","40","20","ゴルダック","40","20","ゴルダック","40","20","ゴルダック","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","ドジョッチ","25","10","コイキング","25","10","ドジョッチ","25","10","ドジョッチ","75","40","30","ギャラドス","40","30","ナマズン","55","40","ギャラドス","55","40","ナマズン","55","40","ナマズン"
"c06","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","0","0","0","0","","","","","","","","","","","10","30","20","メノクラゲ","30","20","シーウシ","40","20","ドククラゲ","30","20","キャモメ","40","20","シードルゴ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","テッポウオ","25","10","コイキング","25","10","テッポウオ","25","10","テッポウオ","75","40","30","ギャラドス","40","30","オクタン","55","40","ギャラドス","55","40","オクタン","55","40","オクタン"
"c08","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","0","0","0","0","","","","","","","","","","","10","40","30","メノクラゲ","40","30","キャモメ","50","30","ドククラゲ","50","30","ドククラゲ","50","30","ペリッパー","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","テッポウオ","25","10","コイキング","25","10","テッポウオ","25","10","テッポウオ","75","55","30","ギャラドス","40","30","オクタン","50","20","ヒトデマン","55","40","オクタン","55","40","オクタン"
"c10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","0","0","0","0","","","","","","","","","","","10","40","30","キャモメ","50","30","ペリッパー","50","30","ペリッパー","50","30","ドククラゲ","50","30","ドククラゲ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","テッポウオ","25","10","コイキング","25","10","テッポウオ","25","10","テッポウオ","75","55","30","ギャラドス","40","30","オクタン","30","20","ラブカス","55","40","オクタン","55","40","オクタン"
"d01r0101","10","5","イシツブテ","6","イシツブテ","5","ズバット","6","ズバット","4","イシツブテ","7","イシツブテ","6","イワーク","8","イワーク","8","イシツブテ","7","ズバット","8","イシツブテ","7","ズバット","イシツブテ","イシツブテ","ズバット","ズバット","ズバット","ズバット","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","0","0","0","0","0","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"d01r0102","10","6","イシツブテ","7","イシツブテ","6","ズバット","7","ズバット","5","イシツブテ","8","イシツブテ","7","イワーク","9","イワーク","9","イシツブテ","8","ズバット","9","イシツブテ","8","ズバット","イシツブテ","イシツブテ","ズバット","ズバット","ズバット","ズバット","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","0","0","0","0","0","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","イシツブテ","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"d02","30","9","シーウシ","10","パチチ","9","ブイゼル","10","シーウシ","10","ブイゼル","11","シーウシ","9","パチリッス","11","パチリッス","11","ブイゼル","12","シーウシ","11","ブイゼル","12","シーウシ","ラクライ","ラクライ","ブイゼル","シーウシ","ブイゼル","シーウシ","メリープ","メリープ","メリープ","メリープ","0","0","0","0","0","0","ブイゼル","シーウシ","ブイゼル","シーウシ","ブイゼル","シーウシ","ブイゼル","シーウシ","ブイゼル","シーウシ","10","30","20","シーウシ","30","20","メノクラゲ","40","20","シードルゴ","40","20","シードルゴ","40","20","ドククラゲ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","ウオット","25","10","コイキング","25","10","ウオット","25","10","ウオット","75","55","30","ギャラドス","40","30","ギョット","50","20","シェルダー","55","40","ギョット","55","40","ギョット"
"d03r0101","30","11","ミミット","10","スボミー","10","ケムッソ","12","コボシ","11","スボミー","12","ビーバー","12","カラサリス","12","マユルド","13","ミミット","13","ゴース","14","アゲハント","14","ドクケイル","ナマケロ","ナマケロ","ケムッソ","スボミー","コボシ","ホーホー","ツチニン","ツチニン","ツチニン","ツチニン","0","0","0","0","0","0","タネボー","タネボー","ミミット","ゴース","クヌギダマ","クヌギダマ","キャタピー","トランセル","ビードル","コクーン","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","",""
"d04","30","28","ブーバー","29","コイル","29","ブーバー","29","ブイゼルガ","30","ブイゼルガ","30","シードルゴ","28","コイル","30","コイル","31","ブイゼルガ","31","シードルゴ","31","ブイゼルガ","31","シードルゴ","ブーバー","コイル","ブーバー","ブイゼルガ","シードルゴ","ブイゼルガ","ココドラ","ココドラ","ココドラ","ココドラ","0","0","0","0","0","0","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","ブイゼルガ","シードルゴ","10","30","20","メノクラゲ","30","20","シーウシ","40","20","ドククラゲ","40","20","ドククラゲ","40","20","シードルゴ","0","","","","","","","","","","","","","","","","25","6","4","コイキング","7","3","コイキング","10","5","コイキング","10","5","コイキング","15","5","コイキング","50","20","15","コイキング","20","15","ウオット","25","10","コイキング","25","10","ウオット","25","10","ウオット","75","55","30","ギャラドス","40","30","ギョット","50","20","シェルダー","55","40","ギョット","55","40","ギョット"
