H,M,月,火,水,木,金,土,日,,,
5,0,7,7,7,7,7,7,7,,,
5,15,1,3,5,8,2,4,6,,1,たたかう　トレーナー
5,30,2,4,6,9,3,5,8,,2,トレーナーリサーチ
5,45,3,5,8,1,4,6,9,,3,バトルウオッチ
6,0,7,7,7,7,7,7,7,,4,トレーナーの　にちじょう
6,15,4,6,9,2,5,8,1,,5,シンオウ　ニュース　ネット
6,30,5,8,1,3,6,9,2,,6,きろくでゴン！
6,45,6,9,2,4,8,1,3,,7,シンオウ・ナウ！
7,0,7,7,7,7,7,7,7,,8,トレンドばんぐみ
7,15,8,1,3,5,9,2,4,,9,バラエティアワー
7,30,9,2,4,6,1,3,5,,,
7,45,1,3,5,8,2,4,6,,,
8,0,7,7,7,7,7,7,7,,,
8,15,2,4,6,9,3,5,8,,,
8,30,3,5,8,1,4,6,9,,,
8,45,4,6,9,2,5,8,1
9,0,7,7,7,7,7,7,7
9,15,5,8,1,3,6,9,2
9,30,6,9,2,4,8,1,3
9,45,8,1,3,5,9,2,4
10,0,7,7,7,7,7,7,7
10,15,9,2,4,6,1,3,5
10,30,1,3,5,8,2,4,6
10,45,2,4,6,9,3,5,8
11,0,7,7,7,7,7,7,7
11,15,3,5,8,1,4,6,9
11,30,4,6,9,2,5,8,1
11,45,5,8,1,3,6,9,2
12,0,7,7,7,7,7,7,7
12,15,6,9,2,4,8,1,3
12,30,8,1,3,5,9,2,4
12,45,9,2,4,6,1,3,5
13,0,7,7,7,7,7,7,7
13,15,1,3,5,8,2,4,6
13,30,2,4,6,9,3,5,8
13,45,3,5,8,1,4,6,9
14,0,7,7,7,7,7,7,7
14,15,4,6,9,2,5,8,1
14,30,5,8,1,3,6,9,2
14,45,6,9,2,4,8,1,3
15,0,7,7,7,7,7,7,7
15,15,8,1,3,5,9,2,4
15,30,9,2,4,6,1,3,5
15,45,1,3,5,8,2,4,6
16,0,7,7,7,7,7,7,7
16,15,2,4,6,9,3,5,8
16,30,3,5,8,1,4,6,9
16,45,4,6,9,2,5,8,1
17,0,7,7,7,7,7,7,7
17,15,5,8,1,3,6,9,2
17,30,6,9,2,4,8,1,3
17,45,8,1,3,5,9,2,4
18,0,7,7,7,7,7,7,7
18,15,9,2,4,6,1,3,5
18,30,1,3,5,8,2,4,6
18,45,2,4,6,9,3,5,8
19,0,7,7,7,7,7,7,7
19,15,3,5,8,1,4,6,9
19,30,4,6,9,2,5,8,1
19,45,5,8,1,3,6,9,2
20,0,7,7,7,7,7,7,7
20,15,6,9,2,4,8,1,3
20,30,8,1,3,5,9,2,4
20,45,9,2,4,6,1,3,5
21,0,7,7,7,7,7,7,7
21,15,1,3,5,8,2,4,6
21,30,2,4,6,9,3,5,8
21,45,3,5,8,1,4,6,9
22,0,7,7,7,7,7,7,7
22,15,4,6,9,2,5,8,1
22,30,5,8,1,3,6,9,2
22,45,6,9,2,4,8,1,3
23,0,7,7,7,7,7,7,7
23,15,8,1,3,5,9,2,4
23,30,9,2,4,6,1,3,5
23,45,1,3,5,8,2,4,6
0,0,7,7,7,7,7,7,7
0,15,2,4,6,9,3,5,8
0,30,3,5,8,1,4,6,9
0,45,4,6,9,2,5,8,1
1,0,7,7,7,7,7,7,7
1,15,5,8,1,3,6,9,2
1,30,6,9,2,4,8,1,3
1,45,8,1,3,5,9,2,4
2,0,7,7,7,7,7,7,7
2,15,9,2,4,6,1,3,5
2,30,1,3,5,8,2,4,6
2,45,2,4,6,9,3,5,8
3,0,7,7,7,7,7,7,7
3,15,3,5,8,1,4,6,9
3,30,4,6,9,2,5,8,1
3,45,5,8,1,3,6,9,2
4,0,7,7,7,7,7,7,7
4,15,6,9,2,4,8,1,3
4,30,8,1,3,5,9,2,4
4,45,9,2,4,6,1,3,5,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
